sequenceID	species	genotype	subtype
JQ290339	SRLV	BC	B1
JQ290340	SRLV	BC	B1
JQ290341	SRLV	BC	B1
JQ610905	SRLV	A	A3
JQ610906	SRLV	A	A1
JQ610907	SRLV	A	A1
JQ610908	SRLV	A	-
JQ610909	SRLV	A	A1
JQ610910	SRLV	A	A1
JQ610911	SRLV	A	A1
JQ610912	SRLV	A	A1
JQ610913	SRLV	A	A1
JQ610914	SRLV	A	A1
JQ610915	SRLV	A	A1
JQ610916	SRLV	A	A1
JQ610917	SRLV	A	A1
JQ610918	SRLV	A	A1
JQ610919	SRLV	A	A1
JQ610920	SRLV	A	A1
JQ610921	SRLV	A	A1
JQ610922	SRLV	A	A1
JQ610923	SRLV	A	A1
JQ610924	SRLV	A	A1
JQ610925	SRLV	A	A1
JQ610926	SRLV	A	A1
JQ610927	SRLV	A	A1
JQ610928	SRLV	A	A1
JQ610929	SRLV	A	A1
JQ610930	SRLV	A	A1
JQ610931	SRLV	A	A1
JQ610932	SRLV	A	A1
JQ610933	SRLV	A	A1
JQ610934	SRLV	A	A1
JQ610935	SRLV	A	A1
JQ610936	SRLV	A	A1
JQ610937	SRLV	A	A1
JQ610938	SRLV	A	A1
JQ610939	SRLV	A	A1
JQ610940	SRLV	A	A1
JQ610941	SRLV	A	A1
JQ610942	SRLV	BC	B1
JQ610943	SRLV	BC	B1
JQ610944	SRLV	BC	B1
JQ610945	SRLV	BC	B1
JQ610946	SRLV	BC	B1
JQ610947	SRLV	BC	B1
JQ610948	SRLV	BC	B1
JQ610949	SRLV	BC	B1
JQ610950	SRLV	BC	B1
JQ610951	SRLV	BC	B1
JQ610952	SRLV	BC	B1
JQ610953	SRLV	BC	B1
JQ610954	SRLV	BC	B1
JQ610955	SRLV	BC	B1
JQ610956	SRLV	BC	B1
JQ610957	SRLV	BC	B1
JQ610958	SRLV	BC	B1
JQ610959	SRLV	BC	B1
JQ610960	SRLV	BC	B1
JQ610961	SRLV	BC	B1
JQ610962	SRLV	BC	B1
JQ610963	SRLV	BC	B1
JQ610964	SRLV	BC	B1
JQ610965	SRLV	BC	B1
JQ610966	SRLV	BC	B1
JQ610967	SRLV	BC	B1
JQ610968	SRLV	BC	B1
JQ610969	SRLV	BC	B1
JQ610970	SRLV	BC	B1
JQ610971	SRLV	BC	B1
JQ610972	SRLV	BC	B1
JQ610973	SRLV	BC	B1
JQ610974	SRLV	BC	B1
JQ610975	SRLV	BC	B1
JQ610976	SRLV	BC	B1
JQ610977	SRLV	BC	B1
JQ610978	SRLV	BC	B1
JQ610979	SRLV	BC	B1
JQ610980	SRLV	BC	B1
JQ610981	SRLV	BC	B1
JQ610982	SRLV	BC	B1
JQ610983	SRLV	BC	B1
JQ610984	SRLV	BC	B1
JQ610985	SRLV	BC	B1
JQ610986	SRLV	BC	B1
JQ610987	SRLV	BC	B1
JQ610988	SRLV	A	A3
JQ610989	SRLV	A	-
JQ610990	SRLV	A	-
JQ610991	SRLV	A	-
JQ610992	SRLV	A	-
JQ610993	SRLV	A	-
JQ610994	SRLV	A	-
JQ610995	SRLV	A	-
JQ610996	SRLV	A	-
JQ610997	SRLV	A	-
JQ610998	SRLV	A	-
JQ610999	SRLV	A	-
JQ611000	SRLV	A	-
JQ611001	SRLV	A	-
JQ611002	SRLV	A	-
JQ611003	SRLV	A	-
JQ611004	SRLV	A	-
JQ611005	SRLV	A	-
JQ611006	SRLV	A	-
JQ611007	SRLV	A	-
JQ611008	SRLV	A	-
JQ611009	SRLV	A	-
JQ611010	SRLV	A	-
JQ611011	SRLV	A	-
JQ611012	SRLV	A	-
JQ611013	SRLV	A	-
JQ611014	SRLV	A	-
JQ611015	SRLV	A	-
JQ611016	SRLV	A	-
JQ611017	SRLV	A	-
JQ611018	SRLV	A	-
JQ611019	SRLV	A	-
JQ611020	SRLV	A	-
JQ611021	SRLV	A	-
JQ611022	SRLV	A	-
JQ611023	SRLV	A	-
JQ611024	SRLV	A	-
JQ611025	SRLV	A	-
JQ611026	SRLV	A	-
JQ611027	SRLV	A	-
JQ611028	SRLV	A	-
JQ611029	SRLV	A	-
JQ611030	SRLV	A	-
JQ898278	SRLV	A	-
JQ898279	SRLV	A	-
JQ898280	SRLV	A	A3
JQ898281	SRLV	A	A3
JQ898282	SRLV	A	A3
JQ898283	SRLV	A	A3
JQ898284	SRLV	A	-
JQ898285	SRLV	A	A3
JQ898287	SRLV	A	-
JX469600	SRLV	BC	B1
JX469601	SRLV	BC	B1
JX469602	SRLV	BC	B1
JX469603	SRLV	BC	B1
JX469604	SRLV	BC	B1
JX469605	SRLV	BC	B1
JX469606	SRLV	BC	B1
JX469607	SRLV	A	-
JX469608	SRLV	A	-
JX469609	SRLV	A	-
JX469610	SRLV	A	-
JX660691	SRLV	A	A1
JX660692	SRLV	A	A3
JX660693	SRLV	BC	B2
JX660694	SRLV	A	A3
JX660695	SRLV	BC	B2
JX878404	SRLV	BC	B2
JX878405	SRLV	BC	B2
JX982682	SRLV	A	A4
JX982683	SRLV	A	A4
JX982684	SRLV	A	A4
JX982685	SRLV	A	A4
JX982686	SRLV	A	A4
JX982687	SRLV	A	A4
JX982688	SRLV	A	A4
JX982689	SRLV	BC	B1
JX982690	SRLV	C	-
JX982691	SRLV	BC	B1
JX982692	SRLV	C	-
JX982693	SRLV	C	-
JX982694	SRLV	C	-
JX982695	SRLV	C	-
JX982696	SRLV	C	-
JX982697	SRLV	C	-
JX982698	SRLV	BC	-
K03327	SRLV	BC	B1
KC155690	SRLV	A	A3
KC155691	SRLV	A	A3
KC155692	SRLV	A	A3
KC155693	SRLV	A	A3
KC155694	SRLV	A	A3
KC155695	SRLV	A	A3
KC155696	SRLV	A	A3
KC155697	SRLV	A	A3
KC155698	SRLV	A	A3
KC155699	SRLV	A	A3
KC155700	SRLV	A	A3
KC155701	SRLV	A	A3
KC155702	SRLV	A	A3
KC155703	SRLV	A	A3
KC155704	SRLV	A	A3
KC155705	SRLV	A	A3
KC155706	SRLV	A	A3
KC155707	SRLV	A	A3
KC155708	SRLV	A	A3
KC155709	SRLV	A	A3
KC155710	SRLV	A	A3
KC155711	SRLV	A	A3
KC155712	SRLV	A	A3
KC155713	SRLV	A	A3
KC155714	SRLV	A	A3
KC155715	SRLV	A	A3
KC155716	SRLV	A	A3
KC155717	SRLV	A	A3
KC155718	SRLV	A	A3
KC155719	SRLV	A	A3
KC155720	SRLV	A	A3
KC155721	SRLV	A	A3
KC155722	SRLV	A	A3
KC155723	SRLV	A	A3
KC155724	SRLV	A	A3
KC155725	SRLV	A	A3
KC155726	SRLV	A	A3
KC155727	SRLV	A	A3
KC155728	SRLV	A	A3
KC155729	SRLV	A	A3
KC155730	SRLV	A	A3
KC155731	SRLV	A	A3
KC155732	SRLV	A	A3
KC155733	SRLV	A	A3
KC155734	SRLV	A	A3
KC155735	SRLV	A	A3
KC155736	SRLV	A	A3
KC155737	SRLV	A	A3
KC155738	SRLV	A	A3
KC155739	SRLV	A	A3
KC155740	SRLV	A	A3
KC155741	SRLV	A	A3
KC155742	SRLV	A	A3
KC155743	SRLV	A	A3
KC155744	SRLV	A	A3
KC155745	SRLV	A	A3
KC155746	SRLV	A	A3
KC155747	SRLV	A	A3
KC155748	SRLV	A	A3
KC155749	SRLV	A	A3
KC155750	SRLV	A	A3
KC155751	SRLV	A	A3
KC155752	SRLV	A	A3
KC155753	SRLV	A	A3
KC155754	SRLV	A	A3
KC155755	SRLV	A	A3
KC155756	SRLV	A	A3
KC155757	SRLV	A	A3
KC155758	SRLV	A	A3
KC155759	SRLV	A	A3
KC155760	SRLV	A	A3
KC155761	SRLV	A	A3
KC155762	SRLV	A	A3
KC155763	SRLV	A	A3
KC155764	SRLV	A	A3
KC155765	SRLV	A	A3
KC155766	SRLV	A	A3
KC155767	SRLV	A	A3
KC155768	SRLV	A	A3
KC155769	SRLV	A	A3
KC155770	SRLV	A	A3
KC155771	SRLV	A	A3
KC155772	SRLV	A	A3
KC155773	SRLV	A	A3
KC155774	SRLV	A	A3
KC155775	SRLV	A	A3
KC155776	SRLV	A	A3
KC155777	SRLV	A	A3
KC155778	SRLV	A	A3
KC155779	SRLV	A	A3
KC155780	SRLV	A	A3
KC155781	SRLV	A	A3
KC155782	SRLV	A	A3
KC155783	SRLV	A	A3
KC155784	SRLV	A	A3
KC155785	SRLV	A	A3
KC155786	SRLV	A	A3
KC155787	SRLV	A	A3
KC155788	SRLV	A	A3
KC155789	SRLV	A	A3
KC155790	SRLV	A	A3
KC155791	SRLV	A	A3
KC155792	SRLV	A	A3
KC155793	SRLV	A	A3
KC155794	SRLV	A	A3
KC155795	SRLV	A	A3
KC155796	SRLV	A	A3
KC155797	SRLV	A	A3
KC155798	SRLV	A	A3
KC155799	SRLV	A	A3
KC155800	SRLV	A	A3
KC155801	SRLV	A	A3
KC155802	SRLV	A	A3
KC155803	SRLV	A	A3
KC155804	SRLV	A	A3
KC155805	SRLV	A	A3
KC155806	SRLV	A	A3
KC155807	SRLV	A	A3
KC155808	SRLV	A	A3
KC155809	SRLV	A	A3
KC155810	SRLV	A	A3
KC155811	SRLV	A	A3
KC155812	SRLV	A	A3
KC155813	SRLV	A	A3
KC155814	SRLV	A	A3
KC155815	SRLV	A	A3
KC155816	SRLV	A	A3
KC155817	SRLV	A	A3
KC155818	SRLV	A	A3
KC155819	SRLV	A	A3
KC197173	SRLV	BC	B1
KC197174	SRLV	BC	B1
KC197175	SRLV	BC	B1
KC197176	SRLV	BC	B1
KC197177	SRLV	BC	B1
KC197178	SRLV	BC	B1
KC197179	SRLV	BC	B1
KC197180	SRLV	BC	B1
KC197181	SRLV	A	A3
KC197182	SRLV	A	A3
KC197183	SRLV	A	A3
KC197184	SRLV	A	A3
KC197185	SRLV	A	A3
KC197186	SRLV	A	A3
KC197187	SRLV	A	A3
KC197188	SRLV	BC	B1
KC197189	SRLV	BC	B1
KC197190	SRLV	BC	B1
KC197191	SRLV	A	A3
KC197192	SRLV	A	A3
KC197193	SRLV	BC	B1
KC197194	SRLV	A	A3
KC197195	SRLV	A	A3
KC197196	SRLV	A	A3
KC197197	SRLV	A	A3
KC197198	SRLV	A	A3
KC197199	SRLV	A	A3
KC197200	SRLV	A	A3
KC241921	SRLV	BC	B1
KC241922	SRLV	BC	B1
KC241923	SRLV	BC	B1
KC241924	SRLV	BC	B1
KC241925	SRLV	BC	B1
KC241926	SRLV	BC	B1
KC241927	SRLV	BC	B1
KC241928	SRLV	BC	B1
KC241929	SRLV	BC	B1
KC241930	SRLV	BC	B1
KC241931	SRLV	BC	B1
KC241932	SRLV	BC	B1
KC241933	SRLV	BC	B1
KC241934	SRLV	BC	B1
KC241935	SRLV	BC	B1
KC241936	SRLV	BC	B1
KC241937	SRLV	BC	B1
KC241938	SRLV	BC	B1
KC241939	SRLV	BC	B1
KC241940	SRLV	BC	B1
KC241941	SRLV	BC	B1
KC241942	SRLV	BC	B1
KC241943	SRLV	BC	B1
KC241944	SRLV	BC	B1
KC241945	SRLV	BC	B1
KC241946	SRLV	BC	B1
KC241947	SRLV	BC	B1
KC241948	SRLV	BC	B1
KC241949	SRLV	BC	B1
KC241950	SRLV	BC	B1
KC241951	SRLV	BC	B1
KC241952	SRLV	BC	B1
KC560792	SRLV	A	A1
KF011980	SRLV	A	A3
KF011981	SRLV	A	A3
KF011982	SRLV	A	A3
KF011983	SRLV	A	A3
KF011984	SRLV	A	A3
KF011985	SRLV	A	A3
KF011986	SRLV	A	A3
KF011987	SRLV	A	A3
KF011988	SRLV	A	A3
KF011989	SRLV	A	A3
KF011990	SRLV	A	A3
KF011991	SRLV	A	A3
KF011992	SRLV	A	A3
KF011993	SRLV	A	A3
KF011994	SRLV	A	A3
KF011995	SRLV	A	A3
KF011996	SRLV	A	A3
KF011997	SRLV	A	A3
KF011998	SRLV	A	A3
KF011999	SRLV	A	A3
KF012000	SRLV	A	A3
KF012001	SRLV	A	A3
KF012002	SRLV	A	A3
KF012003	SRLV	A	A3
KF012004	SRLV	A	A3
KF012005	SRLV	A	A3
KF012006	SRLV	A	A3
KF012007	SRLV	A	A3
KF012008	SRLV	A	A3
KF012009	SRLV	A	A3
KF012010	SRLV	A	A3
KF012011	SRLV	A	A3
KF012012	SRLV	A	A3
KF012013	SRLV	A	A3
KF012014	SRLV	A	A3
KF012015	SRLV	A	A3
KF012016	SRLV	A	A3
KF012017	SRLV	A	A3
KF012018	SRLV	A	A3
KF012019	SRLV	A	A3
KF012020	SRLV	A	A3
KF012021	SRLV	A	A3
KF012022	SRLV	A	A3
KF012023	SRLV	A	A3
KF012024	SRLV	A	A3
KF012025	SRLV	A	A3
KF012026	SRLV	A	A3
KF012027	SRLV	A	A3
KF012028	SRLV	A	A3
KF012029	SRLV	A	A3
KF012030	SRLV	A	A3
KF012031	SRLV	A	A3
KF012032	SRLV	A	A3
KF012033	SRLV	A	A3
KF012034	SRLV	A	A3
KF012035	SRLV	A	A3
KF012036	SRLV	A	A3
KF012037	SRLV	A	A3
KF012038	SRLV	A	A3
KF012039	SRLV	A	A3
KF012040	SRLV	A	A3
KF012041	SRLV	A	A3
KF012042	SRLV	A	A3
KF012043	SRLV	A	A3
KF012044	SRLV	A	A3
KF012045	SRLV	A	A3
KF012046	SRLV	A	A3
KF012047	SRLV	A	A3
KF012048	SRLV	A	A3
KF012049	SRLV	A	A3
KF012050	SRLV	A	A3
KF012051	SRLV	A	A3
KF012052	SRLV	A	A3
KF012053	SRLV	A	A3
KF012054	SRLV	A	A3
KF012055	SRLV	A	A3
KF012056	SRLV	A	A3
KF012057	SRLV	A	A3
KF012058	SRLV	A	A3
KF012059	SRLV	A	A3
KF012060	SRLV	A	A3
KF012061	SRLV	A	A3
KF012062	SRLV	A	A3
KF012063	SRLV	A	A3
KF012064	SRLV	A	A3
KF012065	SRLV	A	A3
KF012066	SRLV	A	A3
KF012067	SRLV	A	A3
KF012068	SRLV	A	A3
KF012069	SRLV	A	A3
KF012070	SRLV	A	A3
KF012071	SRLV	A	A3
KF012072	SRLV	A	A3
KF012073	SRLV	A	A3
KF012074	SRLV	A	A3
KF012075	SRLV	A	A3
KF012076	SRLV	A	A3
KF012077	SRLV	A	A3
KF012078	SRLV	A	A3
KF012079	SRLV	A	A3
KF012080	SRLV	A	A3
KF012081	SRLV	A	A3
KF012082	SRLV	A	A3
KF012083	SRLV	A	A3
KF012084	SRLV	A	A3
KF012085	SRLV	A	A3
KF012086	SRLV	A	A3
KF012087	SRLV	A	A3
KF012088	SRLV	A	A3
KF012089	SRLV	A	A3
KF012090	SRLV	A	A3
KF012091	SRLV	A	A3
KF012092	SRLV	A	A3
KF012093	SRLV	A	A3
KF012094	SRLV	A	A3
KF012095	SRLV	A	A3
KF012096	SRLV	A	A3
KF012097	SRLV	A	A3
KF012098	SRLV	A	A3
KF012099	SRLV	A	A3
KF012100	SRLV	A	A3
KF012101	SRLV	A	A3
KF012102	SRLV	A	A3
KF012103	SRLV	A	A3
KF012104	SRLV	A	A3
KF012105	SRLV	A	A3
KF012106	SRLV	A	A3
KF012107	SRLV	A	A3
KF012108	SRLV	A	A3
KF012109	SRLV	A	A3
KF012110	SRLV	A	A3
KF012111	SRLV	A	A3
KF012112	SRLV	A	A3
KF012113	SRLV	A	A3
KF012114	SRLV	A	A3
KF012115	SRLV	A	A3
KF012116	SRLV	A	A3
KF012117	SRLV	A	A3
KF012118	SRLV	A	A3
KF012119	SRLV	A	A3
KF012120	SRLV	A	A3
KF012121	SRLV	A	A3
KF012122	SRLV	A	A3
KF012123	SRLV	A	A3
KF012124	SRLV	A	A3
KF012125	SRLV	A	A3
KF012126	SRLV	A	A3
KF012127	SRLV	A	A3
KF012128	SRLV	A	A3
KF012129	SRLV	A	A3
KF012130	SRLV	A	A3
KF012131	SRLV	A	A3
KF012132	SRLV	A	A3
KF012133	SRLV	A	A3
KF012134	SRLV	A	A3
KF012135	SRLV	A	A3
KF012136	SRLV	A	A3
KF012137	SRLV	A	A3
KF012138	SRLV	A	A3
KF012139	SRLV	A	A3
KF012140	SRLV	A	A3
KF012141	SRLV	A	A3
KF012142	SRLV	A	A3
KF012143	SRLV	A	A3
KF012144	SRLV	A	A3
KF012145	SRLV	A	A3
KF012146	SRLV	A	A3
KF012147	SRLV	A	A3
KF012148	SRLV	A	A3
KF012149	SRLV	A	A3
KF012150	SRLV	A	A3
KF012151	SRLV	A	A3
KF012152	SRLV	A	A3
KF012153	SRLV	A	A3
KF012154	SRLV	A	A3
KF012155	SRLV	A	A3
KF012156	SRLV	A	A3
KF012157	SRLV	A	A3
KF012158	SRLV	A	A3
KF012159	SRLV	A	A3
KF012160	SRLV	A	A3
KF012161	SRLV	A	A3
KF012162	SRLV	A	A3
KF012163	SRLV	A	A3
KF012164	SRLV	A	A3
KF012165	SRLV	A	A3
KF012166	SRLV	A	A3
KF012167	SRLV	A	A3
KF012168	SRLV	A	A3
KF012169	SRLV	A	A3
KF012170	SRLV	A	A3
KF012171	SRLV	A	A3
KF012172	SRLV	A	A3
KF012173	SRLV	A	A3
KF012174	SRLV	A	A3
KF012175	SRLV	A	A3
KF012176	SRLV	A	A3
KF012177	SRLV	A	A3
KF012178	SRLV	A	A3
KF012179	SRLV	A	A3
KF012180	SRLV	A	A3
KF012181	SRLV	A	A3
KF012182	SRLV	A	A3
KF012183	SRLV	A	A3
KF012184	SRLV	A	A3
KF012185	SRLV	A	A3
KF012186	SRLV	A	A3
KF012187	SRLV	A	A3
KF012188	SRLV	A	A3
KF012189	SRLV	A	A3
KF012190	SRLV	A	A3
KF012191	SRLV	A	A3
KF012192	SRLV	A	A3
KF012193	SRLV	A	A3
KF012194	SRLV	A	A3
KF012195	SRLV	A	A3
KF012196	SRLV	A	A3
KF012197	SRLV	A	A3
KF012198	SRLV	A	A3
KF012199	SRLV	A	A3
KF012200	SRLV	A	A3
KF012201	SRLV	A	A3
KF012202	SRLV	A	A3
KF012203	SRLV	A	A3
KF012204	SRLV	A	A3
KF012205	SRLV	A	A3
KF012206	SRLV	A	A3
KF012207	SRLV	A	A3
KF012208	SRLV	A	A3
KF012209	SRLV	A	A3
KF012210	SRLV	A	A3
KF012211	SRLV	A	A3
KF012212	SRLV	A	A3
KF012213	SRLV	A	A3
KF012214	SRLV	A	A3
KF012215	SRLV	A	A3
KF012216	SRLV	A	A3
KF012217	SRLV	A	A3
KF012218	SRLV	A	A3
KF012219	SRLV	A	A3
KF012220	SRLV	A	A3
KF012221	SRLV	A	A3
KF012222	SRLV	A	A3
KF012223	SRLV	A	A3
KF012224	SRLV	A	A3
KF012225	SRLV	A	A3
KF012226	SRLV	A	A3
KF012227	SRLV	A	A3
KF012228	SRLV	A	A3
KF012229	SRLV	A	A3
KF012230	SRLV	A	A3
KF012231	SRLV	A	A3
KF012232	SRLV	A	A3
KF012233	SRLV	A	A3
KF012234	SRLV	A	A3
KF012235	SRLV	A	A3
KF012236	SRLV	A	A3
KF012237	SRLV	A	A3
KF012238	SRLV	A	A3
KF012239	SRLV	A	A3
KF012240	SRLV	A	A3
KF012241	SRLV	A	A3
KF012242	SRLV	A	A3
KF012243	SRLV	A	A3
KF012244	SRLV	A	A3
KF012245	SRLV	A	A3
KF012246	SRLV	A	A3
KF012247	SRLV	A	A3
KF012248	SRLV	A	A3
KF012249	SRLV	A	A3
KF012250	SRLV	A	A3
KF012251	SRLV	A	A3
KF012252	SRLV	A	A3
KF012253	SRLV	A	A3
KF012254	SRLV	A	A3
KF012255	SRLV	A	A3
KF012256	SRLV	A	A3
KF012257	SRLV	A	A3
KF012258	SRLV	A	A3
KF012259	SRLV	A	A3
KF012260	SRLV	A	A3
KF012261	SRLV	A	A3
KF012262	SRLV	A	A3
KF012263	SRLV	A	A3
KF012264	SRLV	A	A3
KF012265	SRLV	A	A3
KF012266	SRLV	A	A3
KF012267	SRLV	A	A3
KF012268	SRLV	A	A3
KF012269	SRLV	A	A3
KF012270	SRLV	A	A3
KF012271	SRLV	A	A3
KF012272	SRLV	A	A3
KF012273	SRLV	A	A3
KF012274	SRLV	A	A3
KF012275	SRLV	A	A3
KF012276	SRLV	A	A3
KF012277	SRLV	A	A3
KF012278	SRLV	A	A3
KF012279	SRLV	A	A3
KF012280	SRLV	A	A3
KF012281	SRLV	A	A3
KF012282	SRLV	A	A3
KF012283	SRLV	A	A3
KF012284	SRLV	A	A3
KF012285	SRLV	A	A3
KF012286	SRLV	A	A3
KF012287	SRLV	A	A3
KF012288	SRLV	A	A3
KF012289	SRLV	A	A3
KF012290	SRLV	A	A3
KF012291	SRLV	A	A3
KF012292	SRLV	A	A3
KF012293	SRLV	A	A3
KF012294	SRLV	A	A3
KF012295	SRLV	A	A3
KF012296	SRLV	A	A3
KF012297	SRLV	A	A3
KF012298	SRLV	A	A3
KF012299	SRLV	A	A3
KF012300	SRLV	A	A3
KF012301	SRLV	A	A3
KF012302	SRLV	A	A3
KF012303	SRLV	A	A3
KF012304	SRLV	A	A3
KF012305	SRLV	A	A3
KF012306	SRLV	A	A3
KF012307	SRLV	A	A3
KF012308	SRLV	A	A3
KF012309	SRLV	A	A3
KF012310	SRLV	A	A3
KF012311	SRLV	A	A3
KF012312	SRLV	A	A3
KF012313	SRLV	A	A3
KF012314	SRLV	A	A3
KF012315	SRLV	A	A3
KF012316	SRLV	A	A3
KF012317	SRLV	A	A3
KF012318	SRLV	A	A3
KF012319	SRLV	A	A3
KF012320	SRLV	A	A3
KF012321	SRLV	A	A3
KF012322	SRLV	A	A3
KF012323	SRLV	A	A3
KF012324	SRLV	A	A3
KF012325	SRLV	A	A3
KF012326	SRLV	A	A3
KF012327	SRLV	A	A3
KF012328	SRLV	A	A3
KF012329	SRLV	A	A3
KF012330	SRLV	A	A3
KF012331	SRLV	A	A3
KF012332	SRLV	A	A3
KF012333	SRLV	A	A3
KF012334	SRLV	A	A3
KF012335	SRLV	A	A3
KF012336	SRLV	A	A3
KF012337	SRLV	A	A3
KF012338	SRLV	A	A3
KF012339	SRLV	A	A3
KF012340	SRLV	A	A3
KF012341	SRLV	A	A3
KF012342	SRLV	A	A3
KF012343	SRLV	A	A3
KF012344	SRLV	A	A3
KF012345	SRLV	A	A3
KF012346	SRLV	A	A3
KF012347	SRLV	A	A3
KF012348	SRLV	A	A3
KF012349	SRLV	A	A3
KF012350	SRLV	A	A3
KF012351	SRLV	A	A3
KF012352	SRLV	A	A3
KF012353	SRLV	A	A3
KF012354	SRLV	A	A3
KF012355	SRLV	A	A3
KF012356	SRLV	A	A3
KF012357	SRLV	A	A3
KF012358	SRLV	A	A3
KF012359	SRLV	A	A3
KF012360	SRLV	A	A3
KF012361	SRLV	A	A3
KF012362	SRLV	A	A3
KF012363	SRLV	A	A3
KF012364	SRLV	A	A3
KF012365	SRLV	A	A3
KF012366	SRLV	A	A3
KF012367	SRLV	A	A3
KF012368	SRLV	A	A3
KF012369	SRLV	A	A3
KF012370	SRLV	A	A3
KF012371	SRLV	A	A3
KF012372	SRLV	A	A3
KF012373	SRLV	A	A3
KF012374	SRLV	A	A3
KF012375	SRLV	A	A3
KF012376	SRLV	A	A3
KF012377	SRLV	A	A3
KF012378	SRLV	A	A3
KF012379	SRLV	A	A3
KF012380	SRLV	A	A3
KF012381	SRLV	A	A3
KF012382	SRLV	A	A3
KF012383	SRLV	A	A3
KF012384	SRLV	A	A3
KF012385	SRLV	A	A3
KF012386	SRLV	A	A3
KF012387	SRLV	A	A3
KF012388	SRLV	A	A3
KF012389	SRLV	A	A3
KF012390	SRLV	A	A3
KF012391	SRLV	A	A3
KF012392	SRLV	A	A3
KF012393	SRLV	A	A3
KF012394	SRLV	A	A3
KF012395	SRLV	A	A3
KF012396	SRLV	A	A3
KF012397	SRLV	A	A3
KF012398	SRLV	A	A3
KF012399	SRLV	A	A3
KF012400	SRLV	A	A3
KF012401	SRLV	A	A3
KF012402	SRLV	A	A3
KF012403	SRLV	A	A3
KF012404	SRLV	A	A3
KF012405	SRLV	A	A3
KF012406	SRLV	A	A3
KF012407	SRLV	A	A3
KF012408	SRLV	A	A3
KF012409	SRLV	A	A3
KF012410	SRLV	A	A3
KF012411	SRLV	A	A3
KF012412	SRLV	A	A3
KF012413	SRLV	A	A3
KF012414	SRLV	A	A3
KF012415	SRLV	A	A3
KF012416	SRLV	A	A3
KF012417	SRLV	A	A3
KF012418	SRLV	A	A3
KF012419	SRLV	A	A3
KF012420	SRLV	A	A3
KF012421	SRLV	A	A3
KF012422	SRLV	A	A3
KF012423	SRLV	A	A3
KF012424	SRLV	A	A3
KF012425	SRLV	A	A3
KF012426	SRLV	A	A3
KF012427	SRLV	A	A3
KF012428	SRLV	A	A3
KF012429	SRLV	A	A3
KF012430	SRLV	A	A3
KF012431	SRLV	A	A3
KF012432	SRLV	A	A3
KF012433	SRLV	A	A3
KF012434	SRLV	A	A3
KF012435	SRLV	A	A3
KF012436	SRLV	A	A3
KF012437	SRLV	A	A3
KF012438	SRLV	A	A3
KF012439	SRLV	A	A3
KF012440	SRLV	A	A3
KF012441	SRLV	A	A3
KF012442	SRLV	A	A3
KF012443	SRLV	A	A3
KF012444	SRLV	A	A3
KF012445	SRLV	A	A3
KF012446	SRLV	A	A3
KF012447	SRLV	A	A3
KF012448	SRLV	A	A3
KF012449	SRLV	A	A3
KF012450	SRLV	A	A3
KF012451	SRLV	A	A3
KF012452	SRLV	A	A3
KF012453	SRLV	A	A3
KF012454	SRLV	A	A3
KF012455	SRLV	A	A3
KF012456	SRLV	A	A3
KF012457	SRLV	A	A3
KF012458	SRLV	A	A3
KF012459	SRLV	A	A3
KF012460	SRLV	A	A3
KF012461	SRLV	A	A3
KF012462	SRLV	A	A3
KF012463	SRLV	A	A3
KF012464	SRLV	A	A3
KF012465	SRLV	A	A3
KF012466	SRLV	A	A3
KF012467	SRLV	A	A3
KF012468	SRLV	A	A3
KF012469	SRLV	A	A3
KF012470	SRLV	A	A3
KF012471	SRLV	A	A3
KF012472	SRLV	A	A3
KF012473	SRLV	A	A3
KF012474	SRLV	A	A3
KF012475	SRLV	A	A3
KF012476	SRLV	A	A3
KF012477	SRLV	A	A3
KF012478	SRLV	A	A3
KF012479	SRLV	A	A3
KF012480	SRLV	A	A3
KF012481	SRLV	A	A3
KF012482	SRLV	A	A3
KF012483	SRLV	A	A3
KF012484	SRLV	A	A3
KF012485	SRLV	A	A3
KF012486	SRLV	A	A3
KF012487	SRLV	A	A3
KF012488	SRLV	A	A3
KF012489	SRLV	A	A3
KF012490	SRLV	A	A3
KF012491	SRLV	A	A3
KF012492	SRLV	A	A3
KF012493	SRLV	A	A3
KF012494	SRLV	A	A3
KF012495	SRLV	A	A3
KF012496	SRLV	A	A3
KF012497	SRLV	A	A3
KF012498	SRLV	A	A3
KF012499	SRLV	A	A3
KF012500	SRLV	A	A3
KF012501	SRLV	A	A3
KF012502	SRLV	A	A3
KF012503	SRLV	A	A3
KF012504	SRLV	A	A3
KF012505	SRLV	A	A3
KF012506	SRLV	A	A3
KF012507	SRLV	A	A3
KF012508	SRLV	A	A3
KF012509	SRLV	A	A3
KF012510	SRLV	A	A3
KF012511	SRLV	A	A3
KF012512	SRLV	A	A3
KF012513	SRLV	A	A3
KF012514	SRLV	A	A3
KF012515	SRLV	A	A3
KF012516	SRLV	A	A3
KF012517	SRLV	A	A3
KF012518	SRLV	A	A3
KF012519	SRLV	A	A3
KF012520	SRLV	A	A3
KF012521	SRLV	A	A3
KF012522	SRLV	A	A3
KF012523	SRLV	A	A3
KF012524	SRLV	A	A3
KF012525	SRLV	A	A3
KF012526	SRLV	A	A3
KF012527	SRLV	A	A3
KF012528	SRLV	A	A3
KF012529	SRLV	A	A3
KF012530	SRLV	A	A3
KF012531	SRLV	A	A3
KF012532	SRLV	A	A3
KF012533	SRLV	A	A3
